season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
7,1,2021 Diriyah,2021-02-26,Tom Blomqvist,88,NIO,NIO-NextEV,18,18,22,32,+19.072,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Tom Blomqvist,88,NIO,NIO-NextEV,18,18,5,29,+1:09.5087,0,0,0,0
2,6,2016 Long Beach,2016-04-02,Nelson Piquet Jr.,1,NextEV TCR,NIO-NextEV,Ret,18,14,32,Accident,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Neel Jani,18,Porsche,Porsche,18,18,23,34,+44.476,0,0,0,0
2,4,2016 Buenos Aires,2016-02-06,Salvador Durán,77,Team Aguri,Techeetah,Ret,18,17,14,Brakes,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Jean-Éric Vergne,25,Techeetah-DS,Techeetah,18,18,24,36,+34.986,0,0,0,0
1,2,2014 Putrajaya,2014-11-22,Michela Cerruti,18,Trulli,Trulli,Ret,18,14,7,Collision,0,0,0,0
1,4,2015 Buenos Aires,2015-01-10,Michela Cerruti,18,Trulli,Trulli,Ret,18,17,20,Mechanical,0,0,0,0
1,9,2015 Moscow,2015-06-06,Jarno Trulli,10,Trulli GP,Trulli,18,18,9,32,+3 laps,0,0,0,0
1,10,2015 London,2015-06-27,Alex Fontana,18,Trulli GP,Trulli,Ret,18,19,25,Suspension,0,0,0,0
1,3,2014 Punta del Este,2014-12-13,Stéphane Sarrazin,30,Venturi,Venturi,Ret,18,13,15,Suspension,0,0,0,0
2,3,2015 Punta del Este,2015-12-19,Jacques Villeneuve,12,Venturi,Venturi,DNS,18,—,0,Crash Damage4,0,0,0,0
3,7,2017 Berlin,2017-06-10,Tom Dillmann,4,Venturi,Venturi,18,18,15,44,+67.695,0,0,0,0
3,12,2017 Montreal race 2,2017-07-30,Maro Engel,5,Venturi,Venturi,18,18,18,37,+1:33.530,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Felipe Massa,19,Venturi,Venturi,18,18,15,31,+10.250,0,0,0,0
1,6,2015 Long Beach,2015-04-04,Sam Bird,2,Virgin Racing,Virgin,Ret,18,11,22,Suspension,0,0,0,0
1,11,2015 London race 2,2015-06-28,Fabio Leimer,3,Virgin Racing,Virgin,Ret,18,17,17,Suspension,0,0,0,0
3,9,2017 New York City,2017-07-15,Alex Lynn,37,Virgin-Citröen,Virgin,Ret,18,1,23,Driveshaft,0,3,0,3
3,10,2017 New York City race 2,2017-07-16,Alex Lynn,37,Virgin-Citröen,Virgin,Ret,18,15,19,Gearbox,0,0,0,0
3,11,2017 Montreal,2017-07-29,José María López,37,Virgin-Citröen,Virgin,Ret,18,16,23,Accident,0,0,0,0
5,3,2019 Santiago,2019-01-26,Sébastien Buemi,23,e.Dams-Nissan,Nissan-Renault,Ret,18,1,21,Suspension,0,3,0,3
5,11,2019 Swiss,2019-06-22,Oliver Rowland,22,e.Dams-Nissan,Nissan-Renault,Ret,18,13,21,Suspension,0,0,0,0
4,5,2018 Mexico City,2018-03-03,Nico Prost,8,e.Dams-Renault,Nissan-Renault,Ret,18,15,36,Suspension,0,0,0,0
4,6,2018 Punta del Este,2018-03-17,Sébastien Buemi,9,e.Dams-Renault,Nissan-Renault,Ret,18,6,29,Energy,0,0,0,0
1,1,2014 Beijing,2014-09-13,Sébastien Buemi,9,e.dams-Renault,Nissan-Renault,Ret,18,18,14,Rear wing,0,0,0,0
1,3,2014 Punta del Este,2014-12-13,António Félix da Costa,55,Amlin Aguri,Techeetah,Ret,19,12,6,Mechanical,0,0,0,0
1,2,2014 Putrajaya,2014-11-22,Franck Montagny,27,Andretti,BMW-Andretti,DSQ,19,13,30,Disqualified4,0,0,0,0
4,8,2018 Paris,2018-04-28,Tom Blomqvist,27,Andretti-BMW,BMW-Andretti,Ret,19,16,32,Damage,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,Ret,19,6,25,Accident,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Alexander Sims,27,Andretti-BMW,BMW-Andretti,19,19,PL,38,+42.395,0,0,0,0
5,9,2019 Monaco,2019-05-11,Lucas di Grassi,11,Audi,Audi,Ret,19,13,31,Collision,0,0,0,0
1,10,2015 London,2015-06-27,Daniel Abt,66,Audi Sport ABT,Audi,Ret,19,13,15,Accident,0,0,0,0
3,10,2017 New York City race 2,2017-07-16,Daniel Abt,66,Audi Sport ABT,Audi,Ret,19,8,18,Suspension,0,0,1,1
3,4,2017 Mexico City,2017-04-01,Loïc Duval,6,Dragon-Penske,Dragon,Ret,19,20,25,Battery,0,0,0,0
3,8,2017 Berlin race 2,2017-06-11,Loïc Duval,6,Dragon-Penske,Dragon,Ret,19,11,33,Did not finish,0,0,0,0
3,9,2017 New York City,2017-07-15,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,Ret,19,5,22,Oil Pressure,0,0,0,0
3,12,2017 Montreal race 2,2017-07-30,Loïc Duval,6,Dragon-Penske,Dragon,19,19,12,34,Accident,0,0,0,0
4,1,2017 Hong Kong,2017-12-02,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,Ret,19,11,34,Technical,0,0,0,0
4,4,2018 Santiago,2018-02-03,José María López,6,Dragon-Penske,Dragon,Ret,19,8,0,Accident,0,0,0,0
4,9,2018 Berlin,2018-05-19,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,19,19,4,45,+54.289,0,0,0,0
4,12,2018 New York City race 2,2018-07-15,José María López,6,Dragon-Penske,Dragon,Ret,19,11,5,Suspension,0,0,0,0
5,4,2019 Mexico City,2019-02-16,Felipe Nasr,6,Dragon-Penske,Dragon,19,19,14,45,+1:56.160,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Felipe Nasr,6,Dragon-Penske,Dragon,Ret,19,16,1,Collision,0,0,0,0
5,6,2019 Sanya,2019-03-23,José María López,7,Dragon-Penske,Dragon,Ret,19,14,10,Powertrain,0,0,0,0
5,7,2019 Rome,2019-04-13,Maximilian Günther,6,Dragon-Penske,Dragon,19,19,5,28,Energy5,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,Maximilian Günther,6,Dragon-Penske,Dragon,19,19,18,34,Energy,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Brendon Hartley,6,Dragon-Penske,Dragon,19,19,18,34,+52.2191,0,0,0,0
6,3,2020 Santiago,2020-01-18,Brendon Hartley,6,Dragon-Penske,Dragon,Ret,19,17,35,Retired in pits,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Brendon Hartley,6,Dragon-Penske,Dragon,19,19,12,34,+49.002,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Sérgio Sette Câmara,6,Dragon-Penske,Dragon,19,19,9,36,+31.453,0,0,0,0
5,3,2019 Santiago,2019-01-26,Stoffel Vandoorne,5,HWA-Venturi,Mercedes,Ret,19,5,17,Brakes/Accident,0,0,0,0
3,7,2017 Berlin,2017-06-10,Mitch Evans,20,Jaguar,Jaguar,Ret,19,16,16,Did not finish,0,0,1,1
4,6,2018 Punta del Este,2018-03-17,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,19,14,25,Drive shaft,0,0,0,0
4,7,2018 Rome,2018-04-14,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,19,13,18,Seat belt,0,0,0,0
4,10,2018 Zürich,2018-06-10,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,19,11,20,Driveshaft,0,0,0,0
4,11,2018 New York City,2018-07-14,Mitch Evans,20,Jaguar,Jaguar,Ret,19,2,0,Driveshaft,0,0,0,0
3,11,2017 Montreal,2017-07-29,Nick Heidfeld,23,Mahindra,Mahindra,Ret,19,14,23,Suspension,0,0,0,0
4,5,2018 Mexico City,2018-03-03,Felix Rosenqvist,19,Mahindra,Mahindra,Ret,19,1,34,Energy,0,3,0,3
5,11,2019 Swiss,2019-06-22,Pascal Wehrlein,94,Mahindra,Mahindra,Ret,19,4,11,Technical,0,0,0,0
1,4,2015 Buenos Aires,2015-01-10,Karun Chandhok,5,Mahindra Racing,Mahindra,Ret,19,10,15,Suspension,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Nyck de Vries,17,Mercedes,Mercedes,Ret,19,3,18,Brakes,0,0,0,0
1,9,2015 Moscow,2015-06-06,Antonio Garcia,88,NEXTEV TCR,NIO-NextEV,19,19,13,32,+3 laps,0,0,0,0
4,2,2017 Hong Kong race 2,2017-12-03,Luca Filippi,68,NIO,NIO-NextEV,Ret,19,9,36,Track rod,0,0,0,0
5,10,2019 Berlin,2019-05-25,Tom Dillmann,8,NIO,NIO-NextEV,19,19,17,37,+33.706,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Ma Qing Hua,33,NIO,NIO-NextEV,19,19,20,30,+1:28.1655,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Oliver Turvey,3,NIO,NIO-NextEV,19,19,12,36,+44.377,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Neel Jani,18,Porsche,Porsche,19,19,22,37,+29.527,0,0,0,0
6,6,2020 Berlin,2020-08-05,Jean-Éric Vergne,25,Techeetah-DS,Techeetah,NC,19,2,36,+36.915,0,0,0,0
3,6,2017 Paris,2017-05-20,Jean-Éric Vergne,25,Techeetah-Renault,Techeetah,Ret,19,2,33,Accident,0,0,0,0
4,3,2018 Marrakesh,2018-01-13,André Lotterer,18,Techeetah-Renault,Techeetah,Ret,19,20,14,Hardware,0,0,0,0
1,1,2014 Beijing,2014-09-13,Jarno Trulli,10,Trulli,Trulli,Ret,19,20,2,Battery,0,0,0,0
1,6,2015 Long Beach,2015-04-04,Jarno Trulli,10,Trulli,Trulli,Ret,19,13,7,Collision,0,0,0,0
1,8,2015 Berlin,2015-05-23,Jarno Trulli,10,Trulli,Trulli,19,19,1,31,+2 laps,0,3,0,3
2,1,2015 Beijing,2015-10-24,Salvador Durán,10,Trulli,Trulli,DNP,19,-,0,Failed Scrutineering,0,0,0,0
1,11,2015 London race 2,2015-06-28,Jarno Trulli,10,Trulli GP,Trulli,Ret,19,10,14,Brakes,0,0,0,0
1,5,2015 Miami,2015-03-14,Stéphane Sarrazin,30,Venturi,Venturi,Ret,19,5,31,Suspension,0,0,0,0
3,2,2016 Marrakesh,2016-11-12,Maro Engel,5,Venturi,Venturi,Ret,19,14,26,,0,0,0,0
3,3,2017 Buenos Aires,2017-02-18,Maro Engel,5,Venturi,Venturi,Ret,19,20,26,Electrical,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,Edoardo Mortara,48,Venturi,Venturi,19,19,13,32,+1 Lap,0,0,0,0
5,8,2019 Paris,2019-04-27,Edoardo Mortara,48,Venturi,Venturi,Ret,19,10,23,Collision,0,0,0,0
5,12,2019 New York City,2019-07-13,Edoardo Mortara,48,Venturi,Venturi,Ret,19,21,27,Accident,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Felipe Massa,19,Venturi-Mercedes,Venturi,19,19,12,35,+36.549,0,0,0,0
1,7,2015 Monaco,2015-05-09,Jaime Alguersuari,3,Virgin Racing,Virgin,Ret,19,8,0,Accident,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Nick Cassidy,37,Virgin-Audi,Virgin,19,19,21,32,+19.951,0,0,0,0
3,1,2016 Hong Kong,2016-10-09,José María López,37,Virgin-Citroën,Virgin,Ret,19,3,15,Accident,0,0,0,0
3,5,2017 Monaco,2017-05-13,Sam Bird,2,Virgin-Citröen,Virgin,Ret,19,10,36,Suspension,0,0,1,1
7,2,2021 Diriyah race 2,2021-02-27,Sébastien Buemi,23,e.dams-Nissan,Nissan-Renault,Ret,19,8,26,Retired,0,0,0,0
1,4,2015 Buenos Aires,2015-01-10,Salvador Durán,77,Amlin Aguri,Techeetah,DSQ,20,16,35,+14.724s5,0,0,0,0
1,10,2015 London,2015-06-27,Sakon Yamamoto,55,Amlin Aguri,Techeetah,Ret,20,18,15,Battery,0,0,0,0
1,11,2015 London race 2,2015-06-28,Sakon Yamamoto,55,Amlin Aguri,Techeetah,Ret,20,20,6,Accident,0,0,0,0
1,6,2015 Long Beach,2015-04-04,Scott Speed,28,Andretti,BMW-Andretti,Ret,20,6,3,Accident,0,0,0,0
3,2,2016 Marrakesh,2016-11-12,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,Ret,20,10,21,,0,0,0,0
3,6,2017 Paris,2017-05-20,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,Ret,20,17,18,Collision,0,0,0,0
4,8,2018 Paris,2018-04-28,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,Ret,20,5,2,Brakes,0,0,0,0
4,9,2018 Berlin,2018-05-19,Stéphane Sarrazin,27,Andretti-BMW,BMW-Andretti,20,20,16,45,+1:06.954,0,0,0,0
5,8,2019 Paris,2019-04-27,Alexander Sims,27,Andretti-BMW,BMW-Andretti,Ret,20,16,18,Collision,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,Ret,20,11,26,Collision,0,0,0,0
4,2,2017 Hong Kong race 2,2017-12-03,Daniel Abt,66,Audi,Audi,DSQ,20,3,45,Disqualified9,0,0,0,0
4,3,2018 Marrakesh,2018-01-13,Lucas di Grassi,1,Audi,Audi,Ret,20,5,7,Battery,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,René Rast,66,Audi,Audi,Ret,20,21,30,Electronics,0,0,0,0
1,8,2015 Berlin,2015-05-23,Lucas di Grassi,11,Audi Sport ABT,Audi,DSQ,20,2,33,Disqualified4,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,José María López,7,Dragon-Penske,Dragon,Ret,20,2,25,Suspension,0,0,0,0
5,3,2019 Santiago,2019-01-26,Maximilian Günther,6,Dragon-Penske,Dragon,Ret,20,7,12,Gearbox,0,0,0,0
5,10,2019 Berlin,2019-05-25,José María López,7,Dragon-Penske,Dragon,20,20,20,37,+46.895,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Nico Müller,7,Dragon-Penske,Dragon,Ret,20,22,28,Puncture,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Nico Müller,7,Dragon-Penske,Dragon,20,20,16,34,+53.075,0,0,0,0
6,6,2020 Berlin,2020-08-05,Nico Müller,7,Dragon-Penske,Dragon,NC,20,19,36,+3:02.455,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Nico Müller,7,Dragon-Penske,Dragon,20,20,15,37,+34.431,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Sérgio Sette Câmara,7,Dragon-Penske,Dragon,20,20,20,32,+20.174,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Gary Paffett,17,HWA-Venturi,Mercedes,Ret,20,19,3,Puncture,0,0,0,0
5,6,2019 Sanya,2019-03-23,Stoffel Vandoorne,5,HWA-Venturi,Mercedes,Ret,20,13,1,Collision,0,0,0,0
3,9,2017 New York City,2017-07-15,Mitch Evans,20,Jaguar,Jaguar,Ret,20,14,18,Wheel,0,0,0,0
3,10,2017 New York City race 2,2017-07-16,Mitch Evans,20,Jaguar,Jaguar,Ret,20,12,5,Transmission,0,0,0,0
5,12,2019 New York City,2019-07-13,Alex Lynn,3,Jaguar,Jaguar,Ret,20,3,18,Technical,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,James Calado,51,Jaguar,Jaguar,20,20,22,38,+52.828,0,0,0,0
4,5,2018 Mexico City,2018-03-03,Nick Heidfeld,23,Mahindra,Mahindra,Ret,20,8,27,Water pump,0,0,0,0
4,6,2018 Punta del Este,2018-03-17,Nick Heidfeld,23,Mahindra,Mahindra,Ret,20,17,1,Power,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Pascal Wehrlein,94,Mahindra,Mahindra,Ret,20,21,1,Collision,0,0,0,0
1,1,2014 Beijing,2014-09-13,Bruno Senna,21,Mahindra Racing,Mahindra,Ret,20,15,0,Collision,0,0,0,0
1,5,2015 Miami,2015-03-14,Bruno Senna,21,Mahindra Racing,Mahindra,Ret,20,15,25,Suspension,0,0,0,0
1,7,2015 Monaco,2015-05-09,Bruno Senna,21,Mahindra Racing,Mahindra,Ret,20,9,0,Accident,0,0,0,0
4,11,2018 New York City,2018-07-14,Oliver Turvey,16,NIO,NIO-NextEV,WD,20,—,—,—,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Ma Qing Hua,33,NIO,NIO-NextEV,20,20,22,33,+1 lap2,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Daniel Abt,33,NIO,NIO-NextEV,20,20,17,36,+38.071,0,0,0,0
3,4,2017 Mexico City,2017-04-01,Oliver Turvey,88,NextEV NIO,NIO-NextEV,Ret,20,1,12,Battery,0,3,0,3
6,4,2020 Mexico City,2020-02-15,André Lotterer,36,Porsche,Porsche,Ret,20,1,11,Collision damage,0,3,0,3
6,3,2020 Santiago,2020-01-18,Jean-Éric Vergne,25,Techeetah-DS,Techeetah,Ret,20,11,32,Front wing damage,0,0,0,0
3,1,2016 Hong Kong,2016-10-09,Ma Qing Hua,33,Techeetah-Renault,Techeetah,Ret,20,17,1,Accident,0,0,0,0
3,5,2017 Monaco,2017-05-13,Jean-Éric Vergne,25,Techeetah-Renault,Techeetah,Ret,20,4,20,Collision,0,0,0,0
4,1,2017 Hong Kong,2017-12-02,André Lotterer,18,Techeetah-Renault,Techeetah,DSQ,20,12,43,Disqualified4,0,0,0,0
2,1,2015 Beijing,2015-10-24,Vitantonio Liuzzi,18,Trulli,Trulli,DNP,20,-,0,Failed Scrutineering,0,0,0,0
1,2,2014 Putrajaya,2014-11-22,Nick Heidfeld,23,Venturi,Venturi,EX,20,8,14,Excluded5,0,0,0,0
3,8,2017 Berlin race 2,2017-06-11,Maro Engel,5,Venturi,Venturi,Ret,20,13,14,Did not finish,0,0,1,1
4,4,2018 Santiago,2018-02-03,Maro Engel,5,Venturi,Venturi,Ret,20,11,0,Accident,0,0,0,0
4,10,2018 Zürich,2018-06-10,Edoardo Mortara,4,Venturi,Venturi,Ret,20,13,6,Suspension,0,0,0,0
4,12,2018 New York City race 2,2018-07-15,Tom Dillmann,4,Venturi,Venturi,Ret,20,14,4,Gearbox,0,0,0,0
5,7,2019 Rome,2019-04-13,Felipe Massa,19,Venturi,Venturi,Ret,20,9,11,Driveshaft,0,0,0,0
5,9,2019 Monaco,2019-05-11,Edoardo Mortara,48,Venturi,Venturi,Ret,20,21,29,Technical,0,0,0,0
5,11,2019 Swiss,2019-06-22,Edoardo Mortara,48,Venturi,Venturi,Ret,20,18,5,Brakes,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,Edoardo Mortara,48,Venturi,Venturi,Ret,20,10,17,Brakes,0,0,0,0
1,3,2014 Punta del Este,2014-12-13,Sam Bird,3,Virgin Racing,Virgin,Ret,20,18,3,Accident,0,0,0,0
1,9,2015 Moscow,2015-06-06,Sam Bird,2,Virgin Racing,Virgin,Ret,20,11,24,Brakes,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Sam Bird,2,Virgin-Audi,Virgin,20,20,16,36,+46.591,0,0,0,0
3,3,2017 Buenos Aires,2017-02-18,Sam Bird,2,Virgin-Citroën,Virgin,Ret,20,10,20,Accident,0,0,0,0
4,7,2018 Rome,2018-04-14,Alex Lynn,36,Virgin-Citröen,Virgin,Ret,20,11,15,Accident,0,0,0,0
5,4,2019 Mexico City,2019-02-16,Oliver Rowland,22,e.Dams-Nissan,Nissan-Renault,20,20,4,44,Energy,0,0,0,0
3,7,2017 Berlin,2017-06-10,Sébastien Buemi,9,e.Dams-Renault,Nissan-Renault,DSQ,20,14,44,Excluded4,0,0,0,0
3,11,2017 Montreal,2017-07-29,Sébastien Buemi,9,e.Dams-Renault,Nissan-Renault,DSQ,20,12,35,Underweight5,0,0,0,0
3,12,2017 Montreal race 2,2017-07-30,Nico Prost,8,e.Dams-Renault,Nissan-Renault,Ret,20,20,32,Did not finish,0,0,1,1
6,1,2019 Diriyah,2019-11-22,Daniel Abt,66,Audi,Audi,Ret,21,15,29,Accident,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Lucas di Grassi,11,Audi,Audi,21,21,23,36,+1:15.119,0,0,0,0
5,9,2019 Monaco,2019-05-11,Maximilian Günther,6,Dragon-Penske,Dragon,Ret,21,22,29,Accident,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Sérgio Sette Câmara,6,Dragon-Penske,Dragon,21,21,24,37,+36.315,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Nico Müller,6,Dragon-Penske,Dragon,21,21,PL,32,+20.586,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,Gary Paffett,17,HWA-Venturi,Mercedes,Ret,21,9,9,Accident,0,0,0,0
5,8,2019 Paris,2019-04-27,Stoffel Vandoorne,5,HWA-Venturi,Mercedes,Ret,21,19,18,Suspension,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Mitch Evans,20,Jaguar,Jaguar,Ret,21,18,26,Collision,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Pascal Wehrlein,94,Mahindra,Mahindra,Ret,21,7,1,Accident damage,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Jérôme d'Ambrosio,64,Mahindra,Mahindra,Ret,21,22,1,Collision,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Stoffel Vandoorne,5,Mercedes,Mercedes,Ret,21,4,17,Puncture,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Oliver Turvey,3,NIO,NIO-NextEV,21,21,19,34,+59.969,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Oliver Turvey,3,NIO,NIO-NextEV,21,21,13,36,+39.694,0,0,0,0
5,10,2019 Berlin,2019-05-25,André Lotterer,36,Techeetah-DS,Techeetah,Ret,21,21,28,Battery,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,André Lotterer,36,Techeetah-DS,Techeetah,Ret,21,19,3,Collision damage3,0,0,0,0
5,3,2019 Santiago,2019-01-26,Felipe Massa,19,Venturi,Venturi,Ret,21,9,12,Suspension,0,0,0,0
5,7,2019 Rome,2019-04-13,Edoardo Mortara,48,Venturi,Venturi,Ret,21,7,8,Driveshaft,0,0,0,0
6,3,2020 Santiago,2020-01-18,Edoardo Mortara,48,Venturi-Mercedes,Venturi,Ret,21,7,29,Collision damage,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Felipe Massa,19,Venturi-Mercedes,Venturi,Ret,21,19,6,Accident,0,0,0,0
6,6,2020 Berlin,2020-08-05,Felipe Massa,19,Venturi-Mercedes,Venturi,Ret,21,9,22,Accident,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Felipe Massa,19,Venturi-Mercedes,Venturi,NC,21,17,38,+1:21.241,0,0,0,0
5,6,2019 Sanya,2019-03-23,Sam Bird,2,Virgin-Audi,Virgin,Ret,21,16,1,Collision,0,0,0,0
5,11,2019 Swiss,2019-06-22,Robin Frijns,4,Virgin-Audi,Virgin,Ret,21,9,0,Collision,0,0,0,0
5,12,2019 New York City,2019-07-13,Robin Frijns,4,Virgin-Audi,Virgin,Ret,21,9,15,Collision damage,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Robin Frijns,4,Virgin-Audi,Virgin,Ret,21,12,18,Accident,0,0,0,0
5,4,2019 Mexico City,2019-02-16,Sébastien Buemi,23,e.Dams-Nissan,Nissan-Renault,21,21,6,44,Energy,0,0,0,0
5,9,2019 Monaco,2019-05-11,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,DSQ,22,8,51,Power usage2,0,0,0,0
6,3,2020 Santiago,2020-01-18,Alexander Sims,27,Andretti-BMW,BMW-Andretti,Ret,22,15,4,Collision damage,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,Ret,22,11,27,Accident damage,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,Ret,22,9,23,Accident,0,0,0,0
5,6,2019 Sanya,2019-03-23,Felipe Nasr,6,Dragon-Penske,Dragon,Ret,22,18,1,Technical,0,0,0,0
5,11,2019 Swiss,2019-06-22,José María López,7,Dragon-Penske,Dragon,DSQ,22,14,31,Power usage3,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,José María López,7,Dragon-Penske,Dragon,Ret,22,13,2,Collision damage,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Nico Müller,7,Dragon-Penske,Dragon,Ret,22,7,2,Accident,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Nico Müller,7,Dragon-Penske,Dragon,22,22,PL,36,+1:11.178,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Stoffel Vandoorne,5,HWA-Venturi,Mercedes,Ret,22,22,1,Suspension,0,0,0,0
5,7,2019 Rome,2019-04-13,Gary Paffett,17,HWA-Venturi,Mercedes,Ret,22,15,1,Collision,0,0,0,0
5,4,2019 Mexico City,2019-02-16,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,22,11,2,Collision,0,0,0,0
5,5,2019 Hong Kong,2019-03-10,Nelson Piquet Jr.,3,Jaguar,Jaguar,Ret,22,15,1,Suspension,0,0,0,0
5,10,2019 Berlin,2019-05-25,Alex Lynn,3,Jaguar,Jaguar,Ret,22,5,23,Technical,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,James Calado,51,Jaguar,Jaguar,Ret,22,17,13,Collision damage,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,Felix Rosenqvist,94,Mahindra,Mahindra,Ret,22,17,8,Driveshaft,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Pascal Wehrlein,94,Mahindra,Mahindra,22,22,15,34,+1:13.414,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Alex Lynn,94,Mahindra,Mahindra,Ret,22,12,26,Collision7,0,0,0,0
5,3,2019 Santiago,2019-01-26,Tom Dillmann,8,NIO,NIO-NextEV,Ret,22,21,10,Retirement,0,0,0,0
5,8,2019 Paris,2019-04-27,Tom Dillmann,8,NIO,NIO-NextEV,Ret,22,9,17,Accident,0,0,0,0
5,12,2019 New York City,2019-07-13,Tom Dillmann,8,NIO,NIO-NextEV,Ret,22,12,1,Collision damage,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Oliver Turvey,3,NIO,NIO-NextEV,22,22,19,37,+1:01.473,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Jean-Éric Vergne,25,Techeetah-DS,Techeetah,Ret,22,11,21,Steering,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,António Félix da Costa,13,Techeetah-DS,Techeetah,Ret,22,21,35,Electronics,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Sam Bird,2,Virgin-Audi,Virgin,Ret,22,7,13,Collision damage,0,0,0,0
6,6,2020 Berlin,2020-08-05,Robin Frijns,4,Virgin-Audi,Virgin,Ret,22,10,8,Accident,0,0,0,0
6,6,2020 Berlin,2020-08-05,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,DSQ5,23,12,36,Energy usage,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,Ret,23,21,0,Collision,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Jake Dennis,27,Andretti-BMW,BMW-Andretti,Ret,23,17,16,Collision,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Sérgio Sette Câmara,6,Dragon-Penske,Dragon,Ret,23,11,10,Collision,0,0,0,0
6,4,2020 Mexico City,2020-02-15,James Calado,51,Jaguar,Jaguar,DSQ,23,17,36,Energy usage1,0,0,0,0
