season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
2,3,2015 Punta del Este,2015-12-19,Bruno Senna,21,Mahindra Racing,Mahindra,Ret,16,9,26,Damage,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Nyck de Vries,17,Mercedes,Mercedes,16,16,23,30,+36.3183,0,0,0,0
2,7,2016 Paris,2016-04-23,Nelson Piquet Jr.,1,NEXTEV TCR,NIO-NextEV,Ret,16,9,39,Out of Energy,0,0,0,0
4,1,2017 Hong Kong,2017-12-02,Oliver Turvey,16,NIO,NIO-NextEV,16,16,7,42,+1 Lap,0,0,0,0
4,3,2018 Marrakesh,2018-01-13,Luca Filippi,68,NIO,NIO-NextEV,16,16,11,32,+1 Lap,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Oliver Turvey,16,NIO,NIO-NextEV,16,16,14,31,+9.241,0,0,0,0
5,11,2019 Swiss,2019-06-22,Oliver Turvey,16,NIO,NIO-NextEV,16,16,22,31,+46.622,0,0,0,0
6,3,2020 Santiago,2020-01-18,Ma Qing Hua,33,NIO,NIO-NextEV,16,16,24,39,+1 Lap5,0,0,0,0
6,6,2020 Berlin,2020-08-05,Oliver Turvey,3,NIO,NIO-NextEV,16,16,18,36,+31.116,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Daniel Abt,33,NIO,NIO-NextEV,16,16,21,38,+35.424,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Oliver Turvey,3,NIO,NIO-NextEV,16,16,24,35,+22.774,0,0,0,0
3,2,2016 Marrakesh,2016-11-12,Nelson Piquet Jr.,3,NextEV NIO,NIO-NextEV,16,16,3,33,,0,0,0,0
3,10,2017 New York City race 2,2017-07-16,Nelson Piquet Jr.,3,NextEV NIO,NIO-NextEV,16,16,20,46,+3 Laps,0,0,0,0
3,12,2017 Montreal race 2,2017-07-30,Nelson Piquet Jr.,3,NextEV NIO,NIO-NextEV,16,16,8,37,+46.751,0,0,0,0
7,1,2021 Diriyah,2021-02-26,André Lotterer,36,Porsche,Porsche,16,16,7,32,+18.417,0,0,0,0
2,1,2015 Beijing,2015-10-24,Nico Prost,8,Renault e.dams,Nissan-Renault,Ret,16,2,22,Rear wing,0,0,0,0
3,3,2017 Buenos Aires,2017-02-18,Ma Qing Hua,33,Techeetah-Renault,Techeetah,16,16,19,36,+1 Lap,0,0,0,0
1,2,2014 Putrajaya,2014-11-22,Jarno Trulli,10,Trulli,Trulli,16,16,4,28,+3 laps3,0,0,0,0
1,5,2015 Miami,2015-03-14,Vitantonio Liuzzi,18,Trulli,Trulli,16,16,11,38,+1 lap,0,0,0,0
4,5,2018 Mexico City,2018-03-03,Maro Engel,5,Venturi,Venturi,16,16,11,47,+44.689,0,0,0,0
4,12,2018 New York City race 2,2018-07-15,Maro Engel,5,Venturi,Venturi,Ret,16,17,15,Power,0,0,0,0
5,12,2019 New York City,2019-07-13,Felipe Massa,19,Venturi,Venturi,16,16,20,35,Collision damage,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Felipe Massa,19,Venturi-Mercedes,Venturi,16,16,11,36,+25.577,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Norman Nato,71,Venturi-Mercedes,Venturi,16,16,23,29,+48.192,0,0,0,0
5,9,2019 Monaco,2019-05-11,Sam Bird,2,Virgin-Audi,Virgin,16,16,14,50,Puncture,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Sam Bird,2,Virgin-Audi,Virgin,Ret,16,5,31,Accident,0,0,0,0
4,9,2018 Berlin,2018-05-19,Alex Lynn,36,Virgin-Citroën,Virgin,16,16,8,45,+53.000,0,0,0,0
4,10,2018 Zürich,2018-06-10,Alex Lynn,36,Virgin-Citroën,Virgin,16,16,15,38,+1 Lap,0,0,0,0
3,5,2017 Monaco,2017-05-13,José María López,37,Virgin-Citröen,Virgin,Ret,16,7,43,Suspension,0,0,0,0
3,6,2017 Paris,2017-05-20,Sam Bird,2,Virgin-Citröen,Virgin,16,16,18,47,+2 Laps,0,0,1,1
4,11,2018 New York City,2018-07-14,Alex Lynn,36,Virgin-Citröen,Virgin,Ret,16,13,33,Accident,0,0,0,0
2,6,2016 Long Beach,2016-04-02,Sébastien Buemi,9,e.Dams-Renault,Nissan-Renault,16,16,7,38,+3 laps,0,0,2,2
4,8,2018 Paris,2018-04-28,Nico Prost,8,e.Dams-Renault,Nissan-Renault,16,16,13,48,+1 Lap,0,0,0,0
2,7,2016 Paris,2016-04-23,Ma Qing Hua,77,Aguri,Techeetah,Ret,17,15,38,Accident,0,0,0,0
2,8,2016 Berlin,2016-05-21,René Rast,55,Aguri,Techeetah,NC,17,13,42,+6 Laps,0,0,0,0
1,1,2014 Beijing,2014-09-13,Takuma Sato,55,Amlin Aguri,Techeetah,Ret,17,13,21,Mechanical,0,0,2,2
1,6,2015 Long Beach,2015-04-04,Salvador Durán,77,Amlin Aguri,Techeetah,Ret,17,19,27,Mechanical,0,0,0,0
1,10,2015 London,2015-06-27,Salvador Durán,77,Amlin Aguri,Techeetah,17,17,10,29,+1:01.9871,0,0,0,0
2,9,2016 London,2016-07-02,Robin Frijns,27,Amlin Andretti,BMW-Andretti,Ret,17,4,19,Accident,0,0,0,0
2,10,2016 London race 2,2016-07-03,Simona de Silvestro,28,Amlin Andretti,BMW-Andretti,Ret,17,17,9,Accident,0,0,0,0
1,3,2014 Punta del Este,2014-12-13,Matthew Brabham,28,Andretti,BMW-Andretti,Ret,17,19,26,Suspension,0,0,0,0
3,7,2017 Berlin,2017-06-10,Robin Frijns,27,Andretti-BMW,BMW-Andretti,17,17,17,44,+62.463,0,0,0,0
4,2,2017 Hong Kong race 2,2017-12-03,Kamui Kobayashi,27,Andretti-BMW,BMW-Andretti,17,17,16,44,+ 1 Lap,0,0,0,0
5,6,2019 Sanya,2019-03-23,Alexander Sims,27,Andretti-BMW,BMW-Andretti,Ret,17,5,20,Accident,0,0,0,0
5,7,2019 Rome,2019-04-13,Alexander Sims,27,Andretti-BMW,BMW-Andretti,17,17,22,29,+1:11.373,0,0,0,0
4,1,2017 Hong Kong,2017-12-02,Lucas di Grassi,1,Audi,Audi,17,17,6,42,+1 Lap,0,0,0,0
4,4,2018 Santiago,2018-02-03,Lucas di Grassi,1,Audi,Audi,Ret,17,13,21,Power,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Daniel Abt,66,Audi,Audi,Ret,17,22,30,Retired in pits,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,René Rast,33,Audi,Audi,17,17,19,29,+1:06.2547,0,0,0,0
3,6,2017 Paris,2017-05-20,Lucas di Grassi,11,Audi Sport ABT,Audi,17,17,13,38,Accident,0,0,0,0
1,2,2014 Putrajaya,2014-11-22,Nelson Piquet Jr.,99,China Racing,NIO-NextEV,Ret,17,7,22,Collision,0,0,0,0
1,5,2015 Miami,2015-03-14,Charles Pic,88,China Racing,NIO-NextEV,17,17,17,38,+1 lap,0,0,0,0
2,3,2015 Punta del Este,2015-12-19,Sam Bird,2,DS Virgin Racing,Virgin,Ret,17,3,17,Battery,0,0,0,0
